﻿Day of Starttime,Year,Distinct count of Trip Id,Max. Temperature,Min. Temperature
31-Dec-17,2017,593,12.9,-0.9
30-Dec-17,2017,519,14,-0.9
29-Dec-17,2017,"1,049",15.8,9
28-Dec-17,2017,"1,267",14,1
27-Dec-17,2017,"1,117",6.1,-2.9
26-Dec-17,2017,737,3.9,-2.9
25-Dec-17,2017,226,19,3.9
24-Dec-17,2017,386,21.9,18
23-Dec-17,2017,"1,600",33.8,21
22-Dec-17,2017,"4,356",39,33.8
21-Dec-17,2017,"5,404",39.9,34
20-Dec-17,2017,"3,926",35.1,28.9
19-Dec-17,2017,"6,914",50,35.1
18-Dec-17,2017,"5,864",45,39.9
17-Dec-17,2017,"2,653",42.1,32
16-Dec-17,2017,"3,269",46,28
15-Dec-17,2017,"4,751",37,21.9
14-Dec-17,2017,"4,950",27,17.1
13-Dec-17,2017,"5,144",37.9,21.9
12-Dec-17,2017,"4,446",28,17.1
11-Dec-17,2017,"5,216",37.9,24.1
10-Dec-17,2017,"1,982",34,19.9
9-Dec-17,2017,"1,675",30,19.9
8-Dec-17,2017,"5,070",36,18
7-Dec-17,2017,"5,210",28,19
6-Dec-17,2017,"6,142",35.1,27
5-Dec-17,2017,"5,722",44.1,27
4-Dec-17,2017,"8,646",64.9,44.1
3-Dec-17,2017,"4,913",57.9,30
2-Dec-17,2017,"5,233",54,33.1
1-Dec-17,2017,"8,287",52,30
30-Nov-17,2017,"8,661",54,39.9
29-Nov-17,2017,"8,342",46.9,34
28-Nov-17,2017,"9,380",61,44.1
27-Nov-17,2017,"8,548",55.9,30.9
26-Nov-17,2017,"2,814",48.9,28
25-Nov-17,2017,"2,814",53.1,34
24-Nov-17,2017,"3,046",63,33.1
23-Nov-17,2017,"1,279",46,33.1
22-Nov-17,2017,"4,835",34,23
21-Nov-17,2017,"6,464",44.1,27
20-Nov-17,2017,"7,215",52,30.9
19-Nov-17,2017,"2,865",36,30
18-Nov-17,2017,"1,558",46.9,35.1
17-Nov-17,2017,"5,650",48,35.1
16-Nov-17,2017,"7,622",37.9,33.1
15-Nov-17,2017,"5,839",52,35.1
14-Nov-17,2017,"8,720",48.9,30
13-Nov-17,2017,"7,944",39.9,32
12-Nov-17,2017,"1,993",39.9,36
11-Nov-17,2017,"2,675",37.9,26.1
10-Nov-17,2017,"4,233",28.9,18
9-Nov-17,2017,"7,856",45,21
8-Nov-17,2017,"8,836",46,28.9
7-Nov-17,2017,"8,736",45,33.1
6-Nov-17,2017,"8,347",42.1,32
5-Nov-17,2017,"3,813",52,46
4-Nov-17,2017,"2,353",48.9,44.1
3-Nov-17,2017,"8,518",46.9,37.9
2-Nov-17,2017,"7,406",51.1,43
1-Nov-17,2017,"6,029",44.1,36
31-Oct-17,2017,"8,170",39.9,35.1
30-Oct-17,2017,"8,792",48.9,37.9
29-Oct-17,2017,"4,468",46,34
28-Oct-17,2017,"4,015",39.9,36
27-Oct-17,2017,"8,131",53.1,37.9
26-Oct-17,2017,"10,943",60.1,37
25-Oct-17,2017,"10,581",53.1,37.9
24-Oct-17,2017,"3,633",51.1,42.1
23-Oct-17,2017,"6,066",54,51.1
22-Oct-17,2017,"4,242",69.1,52
21-Oct-17,2017,"8,513",75.9,60.1
20-Oct-17,2017,"13,069",78.1,51.1
19-Oct-17,2017,"13,292",69.1,52
18-Oct-17,2017,"13,207",70,48
17-Oct-17,2017,"13,465",70,48.9
16-Oct-17,2017,"12,087",62.1,44.1
15-Oct-17,2017,"5,201",68,48
14-Oct-17,2017,"1,417",64.9,62.1
13-Oct-17,2017,"12,923",72,55
12-Oct-17,2017,"12,155",60.1,55.9
11-Oct-17,2017,"7,402",61,57
10-Oct-17,2017,"9,256",62.6,57.9
9-Oct-17,2017,"13,346",79,53.1
8-Oct-17,2017,"9,227",78.1,54
7-Oct-17,2017,"6,093",77,61
6-Oct-17,2017,"9,595",69.8,60.1
5-Oct-17,2017,"14,201",75.9,55
4-Oct-17,2017,"13,456",73.9,62.1
3-Oct-17,2017,"13,288",78.1,68
2-Oct-17,2017,"13,808",82,59
1-Oct-17,2017,"7,838",72,48.9
30-Sep-17,2017,"8,233",66.9,54
29-Sep-17,2017,"13,551",68,57
28-Sep-17,2017,"14,575",73,53.1
27-Sep-17,2017,"14,362",71.1,57.9
26-Sep-17,2017,"15,071",91,71.1
25-Sep-17,2017,"14,366",91.9,68
24-Sep-17,2017,"8,973",91.9,71.1
23-Sep-17,2017,"9,582",93,73
22-Sep-17,2017,"13,857",93.9,73
21-Sep-17,2017,"13,914",93.9,73
20-Sep-17,2017,"14,686",91.9,63
19-Sep-17,2017,"13,407",78.1,66
18-Sep-17,2017,"14,203",75.9,57.9
17-Sep-17,2017,"8,928",84.9,64
16-Sep-17,2017,"10,230",87.1,64.9
15-Sep-17,2017,"14,175",87.1,62.1
14-Sep-17,2017,"14,585",80.1,61
13-Sep-17,2017,"12,704",75,60.1
12-Sep-17,2017,"15,145",75.9,55.9
11-Sep-17,2017,"14,028",75,53.1
10-Sep-17,2017,"8,782",70,51.1
9-Sep-17,2017,"9,614",71.1,55.9
8-Sep-17,2017,"12,955",68,57.9
7-Sep-17,2017,"13,861",71.1,52
6-Sep-17,2017,"13,154",66.9,50
5-Sep-17,2017,"13,331",69.1,55
4-Sep-17,2017,"7,263",81,64
3-Sep-17,2017,"8,016",82.9,57.9
2-Sep-17,2017,"7,117",73.9,50
1-Sep-17,2017,"12,542",68,57.9
31-Aug-17,2017,"14,490",72,64
30-Aug-17,2017,"15,527",82,60.1
29-Aug-17,2017,"14,165",73.9,62.1
28-Aug-17,2017,"13,193",79,64.9
27-Aug-17,2017,"8,178",75.9,63
26-Aug-17,2017,"9,603",77,57.9
25-Aug-17,2017,"14,314",73.9,53.1
24-Aug-17,2017,"13,914",73.9,57.9
23-Aug-17,2017,"15,590",78.1,60.1
22-Aug-17,2017,"14,673",81,66
21-Aug-17,2017,"14,031",84.9,71.1
20-Aug-17,2017,"9,045",88,64
19-Aug-17,2017,"10,378",84.9,63
18-Aug-17,2017,"14,399",82,66.9
17-Aug-17,2017,"12,902",82,73
16-Aug-17,2017,"12,690",87.1,66.9
15-Aug-17,2017,"16,095",82,68
14-Aug-17,2017,"14,641",82,62.1
13-Aug-17,2017,"9,494",79,57.9
12-Aug-17,2017,"10,349",75.9,60.1
11-Aug-17,2017,"14,097",77,66
10-Aug-17,2017,"14,280",82.9,62.1
9-Aug-17,2017,"15,551",82,63
8-Aug-17,2017,"15,702",82.9,59
7-Aug-17,2017,"14,324",75,62.1
6-Aug-17,2017,"8,664",77,64
5-Aug-17,2017,"10,255",79,60.1
4-Aug-17,2017,"12,450",66.9,55.9
3-Aug-17,2017,"13,677",82.9,68
2-Aug-17,2017,"15,223",86,66.9
1-Aug-17,2017,"15,070",84.2,69.1
31-Jul-17,2017,"14,814",84.9,66
30-Jul-17,2017,"9,848",82.9,64
29-Jul-17,2017,"10,562",79,64
28-Jul-17,2017,"14,496",79,68
27-Jul-17,2017,"14,929",81,70
26-Jul-17,2017,"15,011",84.9,66
25-Jul-17,2017,"15,737",81,61
24-Jul-17,2017,"14,538",73,66
23-Jul-17,2017,"9,310",89.1,70
22-Jul-17,2017,"9,407",86,72
21-Jul-17,2017,"11,278",87.1,73.9
20-Jul-17,2017,"10,282",87.1,69.1
19-Jul-17,2017,"14,795",88,70
18-Jul-17,2017,"15,675",88,62.1
17-Jul-17,2017,"14,824",78.1,55.9
16-Jul-17,2017,"9,284",75.9,62.1
15-Jul-17,2017,"10,908",80.1,61
14-Jul-17,2017,"14,192",73,64
13-Jul-17,2017,"14,627",82.9,73
12-Jul-17,2017,"11,464",80.1,68
11-Jul-17,2017,"14,433",84.9,70
10-Jul-17,2017,"10,303",82,66
9-Jul-17,2017,"10,344",84.9,63
8-Jul-17,2017,"11,678",77,63
7-Jul-17,2017,"13,244",86,64
6-Jul-17,2017,"14,833",91.9,71.1
5-Jul-17,2017,"14,154",86,64.9
4-Jul-17,2017,"9,168",82,64
3-Jul-17,2017,"10,294",79,66.9
2-Jul-17,2017,"8,129",88,62.1
1-Jul-17,2017,"9,399",82,66
30-Jun-17,2017,"13,126",82.9,64.9
29-Jun-17,2017,"12,655",80.1,66
28-Jun-17,2017,"12,231",80.1,57.9
27-Jun-17,2017,"15,259",77,52
26-Jun-17,2017,"13,702",73,54
25-Jun-17,2017,"9,164",70,54
24-Jun-17,2017,"10,458",75,59
23-Jun-17,2017,"12,320",82,68
22-Jun-17,2017,"13,968",88,69.1
21-Jun-17,2017,"15,240",79,57
20-Jun-17,2017,"14,417",79,57.9
19-Jun-17,2017,"12,782",79,63
18-Jun-17,2017,"8,576",78.1,71.1
17-Jun-17,2017,"8,262",84.9,71.1
16-Jun-17,2017,"12,370",84.9,66.9
