Date,name of the week,Weekday/Weekend,Year,CompletedTrips,MaxTemp,MinTemp
12/30/17,Saturday,Weekend,2017,519,14,-0.9
12/23/17,Saturday,Weekend,2017,"1,600",33.8,21
12/16/17,Saturday,Weekend,2017,"3,269",46,28
12/9/17,Saturday,Weekend,2017,"1,675",30,19.9
12/2/17,Saturday,Weekend,2017,"5,233",54,33.1
11/25/17,Saturday,Weekend,2017,"2,814",53.1,34
11/18/17,Saturday,Weekend,2017,"1,558",46.9,35.1
11/11/17,Saturday,Weekend,2017,"2,675",37.9,26.1
11/4/17,Saturday,Weekend,2017,"2,353",48.9,44.1
10/28/17,Saturday,Weekend,2017,"4,015",39.9,36
10/21/17,Saturday,Weekend,2017,"8,513",75.9,60.1
10/14/17,Saturday,Weekend,2017,"1,417",64.9,62.1
10/7/17,Saturday,Weekend,2017,"6,093",77,61
9/30/17,Saturday,Weekend,2017,"8,233",66.9,54
9/23/17,Saturday,Weekend,2017,"9,582",93,73
9/16/17,Saturday,Weekend,2017,"10,230",87.1,64.9
9/9/17,Saturday,Weekend,2017,"9,614",71.1,55.9
9/2/17,Saturday,Weekend,2017,"7,117",73.9,50
8/26/17,Saturday,Weekend,2017,"9,603",77,57.9
8/19/17,Saturday,Weekend,2017,"10,378",84.9,63
8/12/17,Saturday,Weekend,2017,"10,349",75.9,60.1
8/5/17,Saturday,Weekend,2017,"10,255",79,60.1
7/29/17,Saturday,Weekend,2017,"10,562",79,64
7/22/17,Saturday,Weekend,2017,"9,407",86,72
7/15/17,Saturday,Weekend,2017,"10,908",80.1,61
7/8/17,Saturday,Weekend,2017,"11,678",77,63
7/1/17,Saturday,Weekend,2017,"9,399",82,66
6/24/17,Saturday,Weekend,2017,"10,458",75,59
6/17/17,Saturday,Weekend,2017,"8,262",84.9,71.1
6/10/17,Saturday,Weekend,2017,"10,073",90,64.9
6/3/17,Saturday,Weekend,2017,"10,137",82.9,60.1
5/27/17,Saturday,Weekend,2017,"7,554",77,52
5/20/17,Saturday,Weekend,2017,"3,702",64,48.9
5/13/17,Saturday,Weekend,2017,"7,807",81,48.9
5/6/17,Saturday,Weekend,2017,"4,993",57,44.1
4/29/17,Saturday,Weekend,2017,"1,643",46.4,39.9
4/22/17,Saturday,Weekend,2017,"5,684",59,43
4/15/17,Saturday,Weekend,2017,"7,696",82,62.1
4/8/17,Saturday,Weekend,2017,"6,642",66.9,37
4/1/17,Saturday,Weekend,2017,"4,769",57.9,34
3/25/17,Saturday,Weekend,2017,"1,479",46,41
3/18/17,Saturday,Weekend,2017,"2,956",44.1,37.9
3/11/17,Saturday,Weekend,2017,"2,098",30.9,18
3/4/17,Saturday,Weekend,2017,"2,689",42.1,28
