﻿name of the week,Hour,Day of Starttime,Weekday/Weekend,Year,Distinct count of Trip Id,Max. Temperature,Min. Temperature
Sunday,23,31-Dec-17,Weekend,2017,7,-0.9,-0.9
Sunday,22,31-Dec-17,Weekend,2017,9,0,0
Sunday,20,31-Dec-17,Weekend,2017,19,1.9,1.9
Sunday,18,31-Dec-17,Weekend,2017,27,5,5
Sunday,17,31-Dec-17,Weekend,2017,38,7,7
Sunday,16,31-Dec-17,Weekend,2017,47,9,9
Sunday,15,31-Dec-17,Weekend,2017,66,10.9,10.9
Sunday,14,31-Dec-17,Weekend,2017,64,12.9,12.9
Sunday,13,31-Dec-17,Weekend,2017,57,12.9,12.9
Sunday,12,31-Dec-17,Weekend,2017,56,12,12
Sunday,11,31-Dec-17,Weekend,2017,49,10.9,10.9
Sunday,10,31-Dec-17,Weekend,2017,47,9,9
Sunday,9,31-Dec-17,Weekend,2017,36,7,7
Sunday,8,31-Dec-17,Weekend,2017,17,3,3
Sunday,7,31-Dec-17,Weekend,2017,14,1,1
Sunday,6,31-Dec-17,Weekend,2017,7,1.9,1.9
Sunday,5,31-Dec-17,Weekend,2017,3,1.9,1.9
Sunday,4,31-Dec-17,Weekend,2017,3,1.9,1.9
Sunday,3,31-Dec-17,Weekend,2017,2,1.9,1.9
Sunday,2,31-Dec-17,Weekend,2017,1,1,1
Sunday,1,31-Dec-17,Weekend,2017,11,1,1
Sunday,0,31-Dec-17,Weekend,2017,13,1,1
Saturday,23,30-Dec-17,Weekend,2017,15,0,0
Saturday,22,30-Dec-17,Weekend,2017,10,-0.9,-0.9
Saturday,21,30-Dec-17,Weekend,2017,11,0,0
Saturday,20,30-Dec-17,Weekend,2017,15,0,0
Saturday,19,30-Dec-17,Weekend,2017,26,1,1
Saturday,18,30-Dec-17,Weekend,2017,25,1.9,1.9
Saturday,17,30-Dec-17,Weekend,2017,35,1.9,1.9
Saturday,16,30-Dec-17,Weekend,2017,38,1.9,1.9
Saturday,15,30-Dec-17,Weekend,2017,37,3,3
Saturday,14,30-Dec-17,Weekend,2017,56,3.9,3.9
Saturday,13,30-Dec-17,Weekend,2017,47,5,5
Saturday,12,30-Dec-17,Weekend,2017,29,5,5
Saturday,11,30-Dec-17,Weekend,2017,40,3.9,3.9
Saturday,10,30-Dec-17,Weekend,2017,37,3.9,3.9
Saturday,9,30-Dec-17,Weekend,2017,23,3,3
Saturday,8,30-Dec-17,Weekend,2017,23,3,3
Saturday,7,30-Dec-17,Weekend,2017,11,3.9,3.9
Saturday,6,30-Dec-17,Weekend,2017,4,6.1,6.1
Saturday,4,30-Dec-17,Weekend,2017,5,10.9,10.9
Saturday,3,30-Dec-17,Weekend,2017,2,12,12
Saturday,2,30-Dec-17,Weekend,2017,9,12.9,12.9
Saturday,1,30-Dec-17,Weekend,2017,8,12.9,12.9
Saturday,0,30-Dec-17,Weekend,2017,13,14,14
Sunday,23,24-Dec-17,Weekend,2017,5,21,21
Sunday,22,24-Dec-17,Weekend,2017,8,19.9,19.9
Sunday,21,24-Dec-17,Weekend,2017,2,18,18
Sunday,20,24-Dec-17,Weekend,2017,3,19,19
Sunday,19,24-Dec-17,Weekend,2017,8,19.9,19.9
Sunday,18,24-Dec-17,Weekend,2017,6,19.9,19.9
Sunday,17,24-Dec-17,Weekend,2017,16,19.9,19.9
Sunday,16,24-Dec-17,Weekend,2017,25,19.9,19.9
Sunday,15,24-Dec-17,Weekend,2017,27,21,21
Sunday,14,24-Dec-17,Weekend,2017,25,21,21
Sunday,13,24-Dec-17,Weekend,2017,29,21,21
Sunday,12,24-Dec-17,Weekend,2017,24,21.2,21.2
Sunday,11,24-Dec-17,Weekend,2017,24,21.9,21.9
Sunday,10,24-Dec-17,Weekend,2017,28,21,21
Sunday,9,24-Dec-17,Weekend,2017,41,19.9,19.9
Sunday,8,24-Dec-17,Weekend,2017,42,21,21
Sunday,7,24-Dec-17,Weekend,2017,24,21,21
Sunday,6,24-Dec-17,Weekend,2017,12,21,21
Sunday,5,24-Dec-17,Weekend,2017,5,21,21
Sunday,4,24-Dec-17,Weekend,2017,1,19.9,19.9
Sunday,3,24-Dec-17,Weekend,2017,4,19.9,19.9
Sunday,2,24-Dec-17,Weekend,2017,7,21,21
Sunday,1,24-Dec-17,Weekend,2017,7,19.9,19.9
Sunday,0,24-Dec-17,Weekend,2017,13,19.9,19.9
Saturday,23,23-Dec-17,Weekend,2017,15,21,21
Saturday,22,23-Dec-17,Weekend,2017,23,21,21
Saturday,21,23-Dec-17,Weekend,2017,29,21,21
Saturday,20,23-Dec-17,Weekend,2017,29,21.9,21.9
Saturday,19,23-Dec-17,Weekend,2017,43,21.9,21.9
Saturday,18,23-Dec-17,Weekend,2017,62,23,23
Saturday,17,23-Dec-17,Weekend,2017,89,24.1,24.1
Saturday,16,23-Dec-17,Weekend,2017,114,25,25
Saturday,15,23-Dec-17,Weekend,2017,140,26.1,26.1
Saturday,14,23-Dec-17,Weekend,2017,142,27,27
Saturday,13,23-Dec-17,Weekend,2017,139,28,28
Saturday,12,23-Dec-17,Weekend,2017,170,28,28
Saturday,11,23-Dec-17,Weekend,2017,134,30.9,30.9
Saturday,10,23-Dec-17,Weekend,2017,137,30,30
Saturday,9,23-Dec-17,Weekend,2017,117,28.9,28.9
Saturday,8,23-Dec-17,Weekend,2017,72,27,27
Saturday,7,23-Dec-17,Weekend,2017,40,26.1,26.1
Saturday,6,23-Dec-17,Weekend,2017,16,27,27
Saturday,5,23-Dec-17,Weekend,2017,8,28,28
Saturday,4,23-Dec-17,Weekend,2017,7,30.9,30.9
Saturday,3,23-Dec-17,Weekend,2017,14,30.9,30.9
Saturday,2,23-Dec-17,Weekend,2017,17,32,32
Saturday,1,23-Dec-17,Weekend,2017,19,33.1,33.1
Saturday,0,23-Dec-17,Weekend,2017,24,33.8,33.8
Sunday,23,17-Dec-17,Weekend,2017,21,39.9,39.9
Sunday,22,17-Dec-17,Weekend,2017,40,42.1,42.1
Sunday,21,17-Dec-17,Weekend,2017,72,41,41
Sunday,20,17-Dec-17,Weekend,2017,78,41,41
Sunday,19,17-Dec-17,Weekend,2017,127,42.1,42.1
Sunday,18,17-Dec-17,Weekend,2017,167,41,41
Sunday,17,17-Dec-17,Weekend,2017,164,39.9,39.9
Sunday,16,17-Dec-17,Weekend,2017,211,39.9,39.9
Sunday,15,17-Dec-17,Weekend,2017,274,41,41
Sunday,14,17-Dec-17,Weekend,2017,255,41,41
Sunday,13,17-Dec-17,Weekend,2017,199,39.9,39.9
Sunday,12,17-Dec-17,Weekend,2017,226,39.9,39.9
Sunday,11,17-Dec-17,Weekend,2017,206,39,39
Sunday,10,17-Dec-17,Weekend,2017,181,37,37
Sunday,9,17-Dec-17,Weekend,2017,162,37,37
Sunday,8,17-Dec-17,Weekend,2017,84,37,37
Sunday,7,17-Dec-17,Weekend,2017,37,35.1,35.1
